商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
090,0,STELLA VOLANTE,48,1.9,PZ,999,,📦,48,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/090"
091,0,U F O,48,1.59,PZ,999,,📦,48,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/091"
093,0,BIG MAGIC CRACKLING,56,2.53,PZ,999,,📦,56,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/093"
094,0,NEW  GRANATA,72,1.11,PZ,999,,📦,72,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/094"
098,0,GUERRE STELLARI,10,8.76,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/098"
101,0,TOM MIX,160,1.03,PZ,999,,📦,160,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/101"
102,0,LIBELLULINA,100,1.07,PZ,999,,📦,100,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/102"
0103,0,LIBELLULA GIGANTE,36,2.61,PZ,999,,📦,36,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/0103"
106X,0,FIORELLINO 3 COLORI              1350PZ,450,0.34,PZ,999,,📦,450,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/106X"
108B,0,BOOM   NEW,160,0.78,PZ,999,,📦,160,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/108B"
109,0,NEW  MAGNUM,30,2.21,PZ,999,,📦,30,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/109"
109B,0,NEW  MAGNUM,100,1.14,PZ,999,,📦,100,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/109B"
110,0,MINI CICCIOLO,240,0.31,PZ,999,,📦,240,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/110"
111,0,RAUDO,160,0.5,PZ,999,,📦,160,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/111"
120,0,FUMOGENI,36,4.56,PZ,999,,📦,36,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/120"
121,0,PALLINA FUMOGENA,240,0.5,PZ,999,,📦,240,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/121"
122,0,METEORITE,200,0.67,PZ,999,,📦,200,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/122"
123,0,PALLINA SCOPPIETTANTE,192,0.45,PZ,999,,📦,192,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/123"
126,0,RAMBO 200 SHOTS,50,1.25,PZ,999,,📦,50,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/126"
127,0,RAMBO 500 SHOTS,32,2.96,PZ,999,,📦,32,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/127"
128,0,POP POP,300,0.2,PZ,999,,📦,300,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/128"
128B,0,POP POP  BIG,180,0.34,PZ,999,,📦,180,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/128B"
129,0,MAGIC WHIP 30 CM,80,1.53,PZ,999,,📦,80,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/129"
204,0,CANDELA MAGICA   38 CM,100,0.56,PZ,999,,📦,100,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/204"
116B,0,BOTTIGLIETTA,48,1.24,PZ,999,,📦,48,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/116B"
118B,0,PISTOLA LANCIA STELLE FILANTI,48,2.56,PZ,999,,📦,48,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/118B"
202,0,STELLE MAGICHE    25 cm.,200,0.37,PZ,999,,📦,200,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/202"
203,0,CANDELA MAGICA   30 CM,80,0.51,PZ,999,,📦,80,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/203"
203A,0,CANDELA MAGICA   30 CM,25,1.89,PZ,999,,📦,25,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/203A"
204A,0,CANDELA MAGICA   38 CM,20,3.18,PZ,999,,📦,20,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/204A"
205,0,CANDELA MAGICA   50 CM,72,0.7,PZ,999,,📦,72,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/205"
211,0,MORNING GLORY 30 CM,180,0.78,PZ,999,,📦,180,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/211"
216,0,MAGIC FLAMBE',120,1.04,PZ,999,,📦,120,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/216"
217,0,SUPER CONETTO  Cinese,48,1.54,PZ,999,,📦,48,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/217"
208,0,BENGALA  TRICOLORE,12,5.35,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/208"
212,0,BENGALA CALIFORNIA,24,2.78,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/212"
