商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
8001480719408,0,ACE CANDEGG. LT. 3 CLASSICA,6,1.65,PZ,999,188,📦,6,,
8015194523015,0,CHANTECL. SGRAS 600 RIC BICARBONATO,12,1.52,PZ,999,25325,📦,12,,
8015194523022,0,CHANTECL. SGRAS 600 RIC DISINFETTAN,12,1.52,PZ,999,23205,📦,12,,
8015194522995,0,CHANTECL. SGRAS 600 RIC LAVANDA,12,1.52,PZ,999,21837,📦,12,,
8015194523008,0,CHANTECL. SGRAS 600 RIC LIMONE,12,1.52,PZ,999,21838,📦,12,,
8015194522988,0,CHANTECL. SGRAS 600 RIC MARSIGLIA,12,1.52,PZ,999,21836,📦,12,,
8059602246622,0,SWEETHOME LAV LIQ 3PZX40L BLU MARIN,3,7.32,PZ,999,26672,📦,3,,
8059602244208,0,SWEETHOME LAV LIQ 3PZX40L FIORITO,1,7.32,PZ,999,24270,📦,1,,
8059602244260,0,SWEETHOME LAV LIQ 3PZX40L FR/COTONE,1,7.32,PZ,999,24271,📦,1,,
8059602244239,0,SWEETHOME LAV LIQ 3PZX40L MUSCHIO,1,7.32,PZ,999,24272,📦,1,,
8059602244215,0,SWEETHOME LAV LIQ 3PZX40L OCEANO,1,7.32,PZ,999,24273,📦,1,,
8059602244246,0,SWEETHOME LAV LIQ 3PZX40L PURO BUCA,1,7.32,PZ,999,24274,📦,1,,
8059602244253,0,SWEETHOME LAV LIQ 3PZX40L SETA,1,7.32,PZ,999,24275,📦,1,,
8059602244222,0,SWEETHOME LAV LIQ 3PZX40L TALCO,1,7.32,PZ,999,24276,📦,1,,
3574660067682,0,ASS. CAREFREE X 40+4 CLASS.,24,1.49,PZ,999,4082,📦,24,,
8017331098431,0,BAGNO BIONSEN 550 PROTETTIVO,12,1.46,PZ,999,24558,📦,12,,
8017331098455,0,BAGNO BIONSEN 550 RIVITALIZZANTE,12,1.46,PZ,999,26113,📦,12,,
8017331098479,0,BAGNO BIONSEN 550 MINERALIZZANTE,12,1.46,PZ,999,26112,📦,12,,
8015100579037,0,DIXAN LIQ. 42LAV CLASSICO,4,6.1,PZ,999,27870,📦,4,,
8015100579020,0,DIXAN LIQ. 42LAV COLOR,4,6.1,PZ,999,27871,📦,4,,
8002910060107,0,FINISH POWER GEL LIQ 600 A/ODORE,7,2.81,PZ,999,22263,📦,7,,
8002910060183,0,FINISH POWER GEL LIQ 600 BRILL IGIE,7,2.81,PZ,999,22262,📦,7,,
8002910060220,0,FINISH POWER GEL LIQ 600 FRESH REGO,7,2.81,PZ,999,22261,📦,7,,
8002910060244,0,FINISH POWER GEL LIQ 600 LEMON,7,2.81,PZ,999,22260,📦,7,,
8000280030744,0,S/BRITE STROF+SPUGNA X 3,40,0.63,PZ,999,10628,📦,40,,
3134373600028,0,S/BRITE STROFINETTO VERDE X 3,36,0.63,PZ,999,688,📦,36,,
8015100577583,0,DIXAN FUSTONE 84 MISURINI,1,12.81,PZ,999,23932,📦,1,,
8056093550467,0,IGIENICA TIFFANY 12R 3VELI,3,2.44,PZ,999,21097,📦,3,,
8003650000774,0,SMAC BAGNO 850 ML,12,0.98,PZ,999,12450,📦,12,,
8003650000798,0,SMAC GEL C/CANDEGGINA 850ML,12,0.98,PZ,999,12337,📦,12,,
8388776979914,0,DEO DUE AMM CONC 1LT 50L BIANCOLATT,6,4.27,PZ,999,27733,📦,6,,
8388776979877,0,DEO DUE AMM CONC 1LT 50L DREAM,6,4.27,PZ,999,27731,📦,6,,
8388776979860,0,DEO DUE AMM CONC 1LT 50L LOVE,6,4.27,PZ,999,27729,📦,6,,
8388776979884,0,DEO DUE AMM CONC 1LT 50L NATURE,6,4.27,PZ,999,27732,📦,6,,
8388776979891,0,DEO DUE AMM CONC 1LT 50L SKY,6,4.27,PZ,999,27730,📦,6,,
0810170060083,0,FISSAN SALVIETTE X 70 2PZ DELICATE,6,1.83,PZ,999,27897,📦,6,,
8001280070709,0,MONAMOUR AMMORB LT3 60LAV BLU,4,2.68,PZ,999,22450,📦,4,,
8001280070723,0,MONAMOUR AMMORB LT3 60LAV IGIENE AT,4,2.68,PZ,999,22452,📦,4,,
8001280070747,0,MONAMOUR AMMORB LT3 60LAV NINFEA,4,2.68,PZ,999,22670,📦,4,,
8001280070716,0,MONAMOUR AMMORB LT3 60LAV ORO,4,2.68,PZ,999,22451,📦,4,,
4006000086682,0,NIVEA FLUIDA 250 ALOE,12,3.05,PZ,999,26590,📦,12,,
4006000086620,0,NIVEA FLUIDA 250 IDRATANTE,12,3.05,PZ,999,26588,📦,12,,
4006000086644,0,NIVEA FLUIDA 250 NUTRIENTE,12,3.05,PZ,999,26589,📦,12,,
5029053582665,0,PANN. HUGGIES UNI 6 XLARGE x 12,6,2.2,PZ,999,2011,📦,6,,
5029053582658,0,PANN. HUGGIES UNI 5 JUNIOR X 14,6,2.2,PZ,999,24598,📦,6,,
5029053582641,0,PANN. HUGGIES UNI 4 MAXI X 16,8,2.2,PZ,999,24764,📦,8,,
5029053582634,0,PANN. HUGGIES UNI 3 MIDI x 18,4,2.2,PZ,999,2012,📦,4,,
3086123493056,0,R&G BIC LADY TWIN X 6,20,0.98,PZ,999,17745,📦,20,,
8001280062124,0,SAP. LIQ. FELCE 500 ECORIC A/BATT,12,1.22,PZ,999,22310,📦,12,,
8001280062117,0,SAP. LIQ. FELCE 500 ECORIC CLASSICO,12,1.22,PZ,999,22309,📦,12,,
8718951597648,0,SAPONE PALMOLIVE X 3+1 LATTE&MIELE,18,1.71,PZ,999,24707,📦,18,,
8718951738966,0,SAPONE PALMOLIVE X 3+1 MANDORLA,18,1.71,PZ,999,24708,📦,18,,
8718951597693,0,SAPONE PALMOLIVE X 3+1 ORCHIDEA,18,1.71,PZ,999,24709,📦,18,,
8718951739024,0,SAPONE PALMOLIVE X 3+1 VERDE,18,1.71,PZ,999,24706,📦,18,,
3045206158077,0,SUPERIRIDE COLOR TESS BLU,6,2.44,PZ,999,21064,📦,6,,
3045206158695,0,SUPERIRIDE COLOR TESS GRIGIO,6,2.44,PZ,999,21068,📦,6,,
3045206158251,0,SUPERIRIDE COLOR TESS JENS,6,2.44,PZ,999,21065,📦,6,,
3045206158107,0,SUPERIRIDE COLOR TESS MARRONE,6,2.44,PZ,999,21066,📦,6,,
